Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Datetime
2025-01-02 14:30:00+00:00,247.63999938964844,249.10000610351562,247.27999877929688,248.92999267578125,2624618,223.64999389648438,223.64999389648438,221.8000030517578,222.4600067138672,1932249,190.10000610351562,191.24000549316406,189.8800048828125,190.6300048828125,1523329.0,425.8800048828125,426.07000732421875,424.6000061035156,425.5299987792969,743680
2025-01-02 14:32:00+00:00,246.77499389648438,248.39999389648438,246.3699951171875,247.57000732421875,618426,221.69000244140625,224.19000244140625,221.67999267578125,223.58999633789062,576821,189.09500122070312,190.1699981689453,188.99000549316406,190.0500946044922,213887.0,423.6023864746094,425.9495849609375,423.6023864746094,425.8550109863281,107984
2025-01-02 14:34:00+00:00,245.83230590820312,246.94000244140625,245.77999877929688,246.75,724686,221.4499969482422,222.0,221.33999633789062,221.72999572753906,359331,188.67250061035156,189.30999755859375,188.48599243164062,189.11000061035156,306561.0,423.79998779296875,424.3500061035156,423.5,423.9169921875,111512
2025-01-02 14:36:00+00:00,245.54640197753906,246.0399932861328,245.2449951171875,245.83999633789062,765794,220.9199981689453,221.99000549316406,220.83999633789062,221.43499755859375,324664,189.17999267578125,189.25999450683594,188.52999877929688,188.63999938964844,236093.0,424.4200134277344,424.7900085449219,423.5899963378906,423.8900146484375,140079
2025-01-02 14:38:00+00:00,245.22030639648438,245.66000366210938,245.10000610351562,245.52999877929688,629967,220.75,221.4199981689453,220.61000061035156,220.94000244140625,375562,188.76499938964844,189.5,188.76499938964844,189.18499755859375,150132.0,423.260009765625,424.5791015625,423.20001220703125,424.45001220703125,91522
2025-01-02 14:40:00+00:00,245.25,245.5,245.16000366210938,245.27000427246094,536769,221.09500122070312,221.4499969482422,220.75999450683594,220.8000030517578,377550,188.83999633789062,189.0050048828125,188.75,188.81500244140625,120892.0,423.07000732421875,423.3299865722656,422.9468994140625,423.3299865722656,105674
2025-01-02 14:42:00+00:00,245.1072998046875,245.8498992919922,244.8000030517578,245.23800659179688,678978,221.10000610351562,221.44000244140625,220.64010620117188,221.1199951171875,313107,188.97740173339844,189.17999267578125,188.7100067138672,188.86500549316406,111408.0,422.8999938964844,423.80499267578125,422.70001220703125,423.1099853515625,104661
2025-01-02 14:44:00+00:00,245.05999755859375,245.4499969482422,244.84500122070312,245.08999633789062,434521,221.14999389648438,221.34300231933594,220.99000549316406,221.00999450683594,367784,189.47000122070312,189.6199951171875,188.9149932861328,188.9600067138672,144320.0,423.2799987792969,423.37921142578125,422.75,422.8349914550781,71638
